Symbol,Name,Type,Unit,Description
TT,Temperature_Threshold,P,T,Temperature_Threshold
CFMAX,Degree_day_Factor,P,L T⁻¹,Degree_day_Factor
CFR,Refreezing_Factor,P,-,Refreezing_Factor
CWH,Water_Holding_Capacity,P,-,Water_Holding_Capacity
LP,Limit_for_Potential_Evaporation,P,-,Limit_for_Potential_Evaporation
FC,Field_Capacity,P,L,Field_Capacity
BETA,Shape_Coefficient,P,-,Shape_Coefficient
PPERC,Percolation_Coefficient,P,T⁻¹,Percolation_Coefficient
UZL,Upper_Zone_Limit,P,L,Upper_Zone_Limit
k0,Quick_Flow_Recession,P,T⁻¹,Quick_Flow_Recession
k1,Interflow_Recession,P,T⁻¹,Interflow_Recession
k2,Baseflow_Recession,P,T⁻¹,Baseflow_Recession
